Gene A,Gene B,Uniprot A,Uniprot B,Symbol A,Symbol B,,,
26270,53343,Q9NRD1,Q9BW91-2,FBXO6,NUDT9,,,
6383,114882,P34741,Q9BZF1-2,SDC2,OSBPL8,,,
2925,84975,P30550,Q6N075,GRPR,MFSD5,,,
6869,84975,P25103,Q6N075,TACR1,MFSD5,,,
63893,8216,Q9C0C9,Q8N653,UBE2O,LZTR1,,,
55031,28985,Q96K76,Q9ULC4-2,USP47,MCTS1,,,
608,7105,Q02223,O43657,TNFRSF17,TSPAN6,,,
53340,5577,Q15506,P31323,SPA17,PRKAR2B,,,
55577,5277,Q9UJ70,P37287-2,NAGK,PIGA,,,
9308,491,Q01151,Q01814-5,CD83,ATP2B2,,,
973,84068,P11912,Q0GE19,CD79A,SLC10A7,,,
2,285203,P01023,Q5NDL2,A2M,C3orf64,,,
3958,53,P17931,P11117,LGALS3,ACP2,,,
8399,152992,O15496,Q8IYL2,PLA2G10,METTL19,,,
116254,4121,Q9NU53,P33908,C6orf72,MAN1A1,,,
1901,3101,P21453,P52790,S1PR1,HK3,,,
221074,25864,Q504Y0-3,Q9BUJ0,SLC39A12,ABHD14A,,,
8908,84058,O15488-2,Q9H977,GYG2,WDR54,,,
54534,78988,Q8N5N7,Q9BQC6,MRPL50,MRP63,,,
9445,131566,Q9Y287,Q96PD2-2,ITM2B,DCBLD2,,,
4166,10447,Q9GZX3,Q92520,CHST6,FAM3C,,,
5356,60625,O43660-2,Q9H5Z1,PLRG1,DHX35,,,
57559,10490,Q96FJ0,Q9UEU0,STAMBPL1,VTI1B,,,
55216,8106,Q6ZUT1-2,Q86U42-2,C11orf57,PABPN1,,,
64422,2776,Q9NT62-2,P50148,ATG3,GNAQ,,,
10980,8450,Q7L5N1,Q13620-1,COPS6,CUL4B,,,
5957,9367,P35243,P51151,RCVRN,RAB9A,,,
51179,375056,Q9NYQ3,Q5JRA6-2,HAO2,MIA3,,,
7850,445571,P27930,Q5JTY5,IL1R2,CBWD3,,,
11045,56262,O00322-2,Q8IWT6,UPK1A,LRRC8A,,,
51631,708,Q9Y383-2,Q07021,LUC7L2,C1QBP,,,
55702,60625,Q9BW85,Q9H5Z1,CCDC94,DHX35,,,
92906,65094,Q8WVV9-4,Q9H9V9-2,HNRPLL,JMJD4,,,
100507436,23534,E7EP37,Q9Y5L0-3,MICA,TNPO3,,,
5329,4121,Q03405,P33908,PLAUR,MAN1A1,,,
5155,23211,P01127,Q9UPT8,PDGFB,ZC3H4,,,
29121,788,Q9UHP7-2,O43772,CLEC2D,SLC25A20,,,
2215,80131,E9PNY5,Q6NSJ5,FCGR3B,LRRC8E,,,
257,11198,O95076,Q9Y5B9,ALX3,SUPT16H,,,
151188,1845,Q8N6S5,P51452,ARL6IP6,DUSP3,,,
163059,59,Q8N7K0-2,P62736,ZNF433,ACTA2,,,
7545,563,Q15915,P25311,ZIC1,AZGP1,,,
54148,63875,Q9NYK5-2,Q9NRX2,MRPL39,MRPL17,,,
8881,253260,Q13042-2,Q6R327-3,CDC16,RICTOR,,,
6141,84864,Q07020,Q8IUF8-4,RPL18,MINA,,,
5436,11321,P62487,Q9HCN4,POLR2G,GPN1,,,
412,64429,P08842,Q9H6R6-2,STS,ZDHHC6,,,
5354,80143,P60201-2,Q9BRV8-2,PLP1,SIKE1,,,
10884,29074,Q9NP92,Q9H0U6,MRPS30,MRPL18,,,
91433,5441,A6NED2,P62875,RCCD1,POLR2L,,,
79961,3313,Q9H6A0,P38646,DENND2D,HSPA9,,,
80347,6274,Q13057-2,P33764,COASY,S100A3,,,
55559,440138,Q99871-2,Q2TAA5,HAUS7,ALG11,,,
5351,1291,Q02809,P12109,PLOD1,COL6A1,,,
10329,84889,Q9Y2B1,Q8WY07,TMEM5,SLC7A3,,,
8706,147409,O75752,Q86SJ6-2,B3GALNT1,DSG4,,,
79635,64786,Q6ZUS5,Q8TC07-2,CCDC121,TBC1D15,,,
8999,730211,Q92772,Q58FG0,CDKL2,HSP90AA5P,,,
845,113026,O14958,Q8N3E9,CASQ2,PLCD3,,,
5000,144811,O43929,Q8IV20,ORC4,C13orf31,,,
80173,56912,Q96LB3,Q9NQC8-2,IFT74,IFT46,,,
6009,7314,Q15382,P0CG47,RHEB,UBB,,,
84502,23131,Q96JJ6,Q9UKJ3,JPH4,GPATCH8,,,
79865,6713,Q5T2D2,Q14534,TREML2,SQLE,,,
224,57117,P51648-2,Q96CB8,ALDH3A2,INTS12,,,
6780,64802,O95793-2,Q9HAN9,STAU1,NMNAT1,,,
23030,10693,F5GX28,Q92526,KDM4B,CCT6B,,,
10651,54927,O75431,Q9NX63,MTX2,CHCHD3,,,
9058,399909,F5GZ33,Q9H6A9-2,SLC13A2,PCNXL3,,,
3010,5814,P22492,Q96QR8,HIST1H1T,PURB,,,
23029,9015,P42696,Q15573-2,RBM34,TAF1A,,,
1144,79971,Q07001,Q5T9L3-2,CHRND,WLS,,,
121457,60412,Q70UQ0-4,Q96A65,IKBIP,EXOC4,,,
27314,83696,Q15771,Q96Q05-2,RAB30,TRAPPC9,,,
64689,121260,Q9BQQ3-2,Q8N697,GORASP1,SLC15A4,,,
6502,10910,Q13309,Q9Y2Z0-2,SKP2,SUGT1,,,
2947,22974,P21266,Q9ULW0,GSTM3,TPX2,,,
64116,29071,Q9C0K1-2,Q96EU7,SLC39A8,C1GALT1C1,,,
3065,168850,Q13547,Q2TB10,HDAC1,ZNF800,,,
23097,9440,B4DUB1,Q9NVC6,CDK19,MED17,,,
5698,5686,P28065,P28066,PSMB9,PSMA5,,,
8706,11187,O75752,Q9Y446,B3GALNT1,PKP3,,,
4007,57610,O43900,Q6VN20,PRICKLE3,RANBP10,,,
2029,23468,O43768-2,P45973,ENSA,CBX5,,,
5796,153642,Q15262-2,Q6UWY0,PTPRK,ARSK,,,
2548,11285,P10253,Q9UBV7,GAA,B4GALT7,,,
26229,57326,O94766,Q96AQ6-2,B3GAT3,PBXIP1,,,
27316,26995,P38159,O95900,RBMX,TRUB2,,,
93145,55791,O95897,Q5T3J3,OLFM2,C1orf103,,,
4646,404093,E7EW20,Q9NWM3,MYO6,CUEDC1,,,
11151,7407,P31146,P26640,CORO1A,VARS,,,
8631,55209,Q86WV1-2,Q9C0A6,SKAP1,SETD5,,,
255352,26330,Q5SR76-2,O14556,C10orf93,GAPDHS,,,
10141,54887,UNKNOWN,Q6BDS2,C4orf6,UHRF1BP1,,,
9277,51121,B0UZZ8,Q9UNX3,WDR46,RPL26L1,,,
5798,256471,Q16849,Q8NHS3,PTPRN,MFSD8,,,
54629,11230,Q8NBR6-2,O60831,FAM63B,PRAF2,,,
79751,23038,Q9H936,Q8N5D0-4,SLC25A22,WDTC1,,,
3084,8034,Q02297-10,P16260,NRG1,SLC25A16,,,
8788,4798,P80370,Q6P4R8-2,DLK1,NFRKB,,,
161142,7278,Q8N9W8-2,Q13748,FAM71D,TUBA3C,,,
49876,5546,UNKNOWN,Q92733,WRAP73,PRCC,,,
26270,6448,Q9NRD1,P51688,FBXO6,SGSH,,,
374383,115209,Q68D85,Q96E52,DKFZp686O24166,OMA1,,,
5691,5706,P49720,P62333,PSMB3,PSMC6,,,
56934,54617,Q9NS85,Q9ULG1,CA10,INO80,,,
131601,55676,Q86W33-2,Q6NXT4-2,TPRA1,SLC30A6,,,
22820,64225,Q9Y678,Q8NHH9-2,COPG,ATL2,,,
81542,50512,Q9H3N1,Q9NZ53,TMX1,PODXL2,,,
1670,5796,Q01523,Q15262-2,DEFA5,PTPRK,,,
599,11001,Q92843,O14975,BCL2L2,SLC27A2,,,
8974,27185,O15460-2,Q9NRI5-2,P4HA2,DISC1,,,
282808,81689,P0C0E4,Q9BUE6,RAB40AL,ISCA1,,,
51562,112858,Q9NS73-5,Q96S44,MBIP,TP53RK,,,
4634,79784,P08590,Q7Z406-2,MYL3,MYH14,,,
29124,7314,Q9UHV8,P0CG47,LGALS13,UBB,,,
80700,79058,Q9BZV1-2,Q9BZE9-2,UBXN6,ASPSCR1,,,
7284,56922,P49411,Q96RQ3,TUFM,MCCC1,,,
415117,29110,Q8N4C7,Q9UHD2,STX19,TBK1,,,
218,3514,P30838,P01834,ALDH3A1,IGKC,,,
347730,5140,Q86UE6,Q13370,LRRTM1,PDE3B,,,
29781,4591,Q6IBW4-2,O94972-2,NCAPH2,TRIM37,,,
1044,1993,P47902-2,Q12926-2,CDX1,ELAVL2,,,
11127,643246,Q9Y496,A6NCE7,KIF3A,MAP1LC3B2,,,
146540,10155,A8K8V0-2,Q13263-2,ZNF785,TRIM28,,,
5690,5687,P49721,P60900,PSMB2,PSMA6,,,
54487,158399,Q8WYQ5-3,Q8TF39,DGCR8,ZNF483,,,
817,115708,Q13557-10,Q96FX7,CAMK2D,TRMT61A,,,
85413,10052,Q86VW1,P36383,SLC22A16,GJC1,,,
2248,55602,P11487,Q9NXV6,FGF3,CDKN2AIP,,,
8601,55253,B3KSW4,Q9NV66,RGS20,TYW1,,,
79867,2621,Q96GX1,Q14393-2,TCTN2,GAS6,,,
4772,23363,O95644-2,O75147-1,NFATC1,OBSL1,,,
4005,51562,P25791-3,Q9NS73-5,LMO2,MBIP,,,
51073,26589,Q9BYD3-2,Q9H2W6,MRPL4,MRPL46,,,
4907,83693,P21589,Q3SXM5,NT5E,HSDL1,,,
10647,7373,O95969,Q05707-2,SCGB1D2,COL14A1,,,
5733,6548,Q147X8,P19634,PTGER3,SLC9A1,,,
57717,6610,Q9NRJ7,O60906,PCDHB16,SMPD2,,,
9416,24144,Q9BUQ8,Q9UBB9,DDX23,TFIP11,,,
161291,79932,Q3MIR4,Q8IZA0-2,TMEM30B,KIAA0319L,,,
284131,55072,Q8N8Q3-3,Q96EP0,ENDOV,RNF31,,,
118881,57223,Q86VU5,Q5MIZ7-2,COMTD1,SMEK2,,,
255626,10933,Q96A08,Q9UBU8-2,HIST1H2BA,MORF4L1,,,
54069,200081,Q9NYP9,P40222,MIS18A,TXLNA,,,
10590,8131,O76038,Q12980,SCGN,NPRL3,,,
1410,140775,P02511,Q8TEV9,CRYAB,SMCR8,,,
9610,81689,Q13671,Q9BUE6,RIN1,ISCA1,,,
54682,9236,Q9H8J5,Q9ULG6-2,MANSC1,CCPG1,,,
8723,23456,O95219,Q9NRK6,SNX4,ABCB10,,,
6141,29889,Q07020,Q13823,RPL18,GNL2,,,
6636,10594,P62306,Q6P2Q9,SNRPF,PRPF8,,,
119180,55761,Q7Z4W2-2,Q96AE7,LYZL2,TTC17,,,
80153,55802,Q96F86,Q9NPI6,EDC3,DCP1A,,,
7101,285598,Q9Y466,Q8N8L6,NR2E1,ARL10,,,
5954,23384,Q15293,Q69YQ0,RCN1,SPECC1L,,,
203259,53615,Q8IW50-3,O95983-2,C9orf25,MBD3,,,
11045,374395,O00322-2,Q7Z7N9,UPK1A,TMEM179B,,,
84108,10951,Q9BYE7,P83916,PCGF6,CBX1,,,
23029,643836,P42696,Q8NB50,RBM34,ZFP62,,,
11269,7018,Q9UMR2-2,P02787,DDX19B,TF,,,
7818,55173,P51398,P82664,DAP3,MRPS10,,,
2244,54517,P02675,Q96PZ0,FGB,PUS7,,,
4043,4036,P30533,P98164,LRPAP1,LRP2,,,
1401,79937,P02741,Q9BZ76,CRP,CNTNAP3,,,
64708,10116,Q9H9Q2,Q9UK73,COPS7B,FEM1B,,,
2298,5162,Q12950,P11177-2,FOXD4,PDHB,,,
7168,54875,P09493-2,Q9NXG0-2,TPM1,CNTLN,,,
4759,85379,Q9Y3R4,Q9BY89,NEU2,KIAA1671,,,
10214,280658,Q99909,Q7RTT5,SSX3,SSX7,,,
11269,5055,Q9UMR2-2,P05120,DDX19B,SERPINB2,,,
2686,1663,Q9UJ14,Q96FC9-2,GGT7,DDX11,,,
10987,55643,Q92905,Q9BX70,COPS5,BTBD2,,,
133121,54101,Q6UWR7,P57078-2,ENPP6,RIPK4,,,
55662,4301,Q9NWT6,P55196-1,HIF1AN,MLLT4,,,
23475,6944,Q15274,Q15906,QPRT,VPS72,,,
84548,92840,Q8NFB2,Q96HR9,TMEM185A,REEP6,,,
419,479,Q5J1K9,P54707-2,ART3,ATP12A,,,
171482,8546,Q8IZU1,O00203,FAM9A,AP3B1,,,
814,9815,Q16566,Q14161,CAMK4,GIT2,,,
80344,8443,Q8TEB1,O15228,DCAF11,GNPAT,,,
22889,5268,Q7Z7F0,P36952,KIAA0907,SERPINB5,,,
80212,5706,Q53HC0,P62333,CCDC92,PSMC6,,,
339229,79731,Q5BKU9,Q96I59,C17orf90,NARS2,,,
23281,79269,Q5JR59-3,Q5QP82-2,MTUS2,DCAF10,,,
55248,113174,Q9H813,Q96ER3,TMEM206,SAAL1,,,
4753,444,Q99435,Q12797,NELL2,ASPH,,,
7266,25821,Q99615,Q9Y2Z2-4,DNAJC7,MTO1,,,
1902,10079,Q92633,O75110,LPAR1,ATP9A,,,
27152,57521,Q9ULD6,Q8N122,INTU,RPTOR,,,
84957,11332,Q969Z4,O00154-4,RELT,ACOT7,,,
90933,404734,Q8WV44,E9PDP5,TRIM41,ANKHD1-EIF4EBP3,,,
284369,4763,Q8N7X8,P21359-2,C19orf75,NF1,,,
80726,5830,Q9H0B3-2,P50542-3,KIAA1683,PEX5,,,
2882,79068,Q96SL4,Q9C0B1,GPX7,FTO,,,
55754,3107,Q9NV96-2,P10321,TMEM30A,HLA-C,,,
5796,3909,Q15262-2,Q16787,PTPRK,LAMA3,,,
93492,6455,Q6XPS3-3,Q99961,TPTE2,SH3GL1,,,
51046,8828,O43173,O60462-2,ST8SIA3,NRP2,,,
347862,4047,Q8NB37-2,P48449,PDDC1,LSS,,,
282890,1059,Q5JNZ3,P07199,ZNF311,CENPB,,,
845,23246,O14958,Q14137,CASQ2,BOP1,,,
64881,9849,Q8N6Y1,Q6AHZ1,PCDH20,ZNF518A,,,
6570,10052,E9PDJ5,P36383,SLC18A1,GJC1,,,
55572,3329,Q96CU9-2,P10809,FOXRED1,HSPD1,,,
126119,3043,Q8TAC2,P68871,JOSD2,HBB,,,
84960,80230,Q5T5S1-2,Q96T51-2,KIAA1984,RUFY1,,,
9445,100507680,Q9Y287,P10314,ITM2B,LOC100507680,,,
374383,6904,Q68D85,Q9BTW9-4,DKFZp686O24166,TBCD,,,
1667,54972,UNKNOWN,Q24JP5-2,DEFA1,TMEM132A,,,
79091,3614,Q9BUU2-2,P20839-2,METTL22,IMPDH1,,,
84547,7572,Q96JS3,P17028,PGBD1,ZNF24,,,
3598,54549,Q14627,Q58EX2-3,IL13RA2,SDK2,,,
56683,1041,P57076,Q15517,C21orf59,CDSN,,,
29121,81035,Q9UHP7-2,Q5KU26,CLEC2D,COLEC12,,,
652968,79726,Q8WTX7,Q6PJI9,GATSL3,WDR59,,,
817,8394,Q13557-10,Q99755-2,CAMK2D,PIP5K1A,,,
2253,3014,P55075-2,P16104,FGF8,H2AFX,,,
55515,79796,Q96FT7-4,Q9H6U8-3,ACCN4,ALG9,,,
10653,80255,O43291,Q8WV83-2,SPINT2,SLC35F5,,,
64768,6253,Q9H8X2,O75298-3,IPPK,RTN2,,,
284273,891,Q8N4Q0,P14635,ZADH2,CCNB1,,,
6185,338,P04844,P04114,RPN2,APOB,,,
9463,29109,Q9NRD5,Q9Y613,PICK1,FHOD1,,,
3566,9088,P24394,Q99640,IL4R,PKMYT1,,,
7411,6830,P61758,Q7KZ85,VBP1,SUPT6H,,,
57561,11059,Q96B67,Q9H0M0-3,ARRDC3,WWP1,,,
5347,252983,P53350,Q6ZWJ1,PLK1,STXBP4,,,
10917,284069,Q6UXE8,A8MVW0,BTNL3,FAM171A2,,,
642843,902,A6NMK7,P51946,CPSF4L,CCNH,,,
2819,3420,F5H792,O43837-2,GPD1,IDH3B,,,
27285,54584,Q9UIF3,Q9BYB4,TEKT2,GNB1L,,,
1136,26507,P32297-1,Q9NRU3-2,CHRNA3,CNNM1,,,
6855,8034,P08247,P16260,SYP,SLC25A16,,,
7555,56829,P62633-2,Q7Z2W4-2,CNBP,ZC3HAV1,,,
55081,121441,Q9NWB7,Q8NHV4,IFT57,NEDD1,,,
80212,5717,Q53HC0,O00231,CCDC92,PSMD11,,,
513,7156,P30049,Q13472-2,ATP5D,TOP3A,,,
54998,64965,Q9NWT8,P82933,AURKAIP1,MRPS9,,,
9425,3920,Q9Y232-2,P13473-2,CDYL,LAMP2,,,
60680,6311,Q8N6W0,Q99700-2,CELF5,ATXN2,,,
23212,6181,Q15050,P05387,RRS1,RPLP2,,,
140685,10919,Q86UZ6,Q96KQ7-2,ZBTB46,EHMT2,,,
5305,55677,P48426,Q96ST2-2,PIP4K2A,IWS1,,,
7100,10695,O60602,Q9BT09,TLR5,CNPY3,,,
6625,51808,P08621,Q9H814,SNRNP70,PHAX,,,
148066,100134938,Q8WWF5,B0FP48,ZNRF4,UPK3BL,,,
65258,10668,Q53F39-2,Q99675,MPPE1,CGRRF1,,,
10668,489,Q99675,Q93084-2,CGRRF1,ATP2A3,,,
203100,80304,P83105,Q9H6R7,HTRA4,C2orf44,,,
10490,1967,Q9UEU0,Q14232,VTI1B,EIF2B1,,,
55676,50810,Q6NXT4-2,Q9Y3E1,SLC30A6,HDGFRP3,,,
118881,10735,Q86VU5,Q8N3U4-2,COMTD1,STAG2,,,
66008,81610,O60296,Q9H4H8-2,TRAK2,FAM83D,,,
3671,7277,O14498,P68366,ISLR,TUBA4A,,,
84282,200081,Q8IUD6,P40222,RNF135,TXLNA,,,
51073,286077,Q9BYD3-2,Q6ZRV2,MRPL4,FAM83H,,,
55031,80155,Q96K76,Q9BXJ9,USP47,NAA15,,,
8676,80143,O75558,Q9BRV8-2,STX11,SIKE1,,,
64326,3725,Q8NHY2-2,P05412,RFWD2,JUN,,,
11041,2131,O43505,Q16394,B3GNT1,EXT1,,,
1993,6311,Q12926-2,Q99700-2,ELAVL2,ATXN2,,,
79753,51362,Q8TAD8,O60508,SNIP1,CDC40,,,
374291,617,O75251,Q9Y276,NDUFS7,BCS1L,,,
11275,9817,D6R9G5,Q14145,KLHL2,KEAP1,,,
132724,200895,Q86T26,Q86XF0,TMPRSS11B,DHFRL1,,,
219621,283458,Q8IVU9,O60361,C10orf107,NME2P1,,,
6182,26058,P52815,Q6Y7W6-3,MRPL12,GIGYF2,,,
10490,8892,Q9UEU0,P49770,VTI1B,EIF2B2,,,
9410,10594,Q96DI7,Q6P2Q9,SNRNP40,PRPF8,,,
11017,3069,Q8WVK2,Q00341,SNRNP27,HDLBP,,,
9577,1116,Q9NXR7,P36222,BRE,CHI3L1,,,
27074,7358,Q9UQV4,O60701,LAMP3,UGDH,,,
8676,8500,O75558,Q13136-2,STX11,PPFIA1,,,
127544,219333,Q6ZMZ0,O75317,RNF19B,USP12,,,
79177,10009,Q9H609,Q86T24,ZNF576,ZBTB33,,,
64978,254773,Q96DV4,Q86SG7,MRPL38,LYG2,,,
5936,6166,Q9BWF3,Q969Q0,RBM4,RPL36AL,,,
5704,5707,P43686-2,Q99460-2,PSMC4,PSMD1,,,
5689,25793,P20618,Q9Y3I1,PSMB1,FBXO7,,,
56287,5284,Q9NS71,P01833,GKN1,PIGR,,,
81035,3912,Q5KU26,P07942,COLEC12,LAMB1,,,
57826,10575,Q9Y3L5,P50991,RAP2C,CCT4,,,
25793,5720,Q9Y3I1,Q06323,FBXO7,PSME1,,,
55658,6502,Q9BV68-2,Q13309,RNF126,SKP2,,,
100505741,404734,Q5VX52-2,E9PDP5,SPATA1,ANKHD1-EIF4EBP3,,,
90060,10296,Q96HB5,Q7L5Y9-2,CCDC120,MAEA,,,
10361,10360,Q86SE8,O75607,NPM2,NPM3,,,
26272,262,Q9UKT5,P17707,FBXO4,AMD1,,,
55006,211,Q9BVS5,P13196,TRMT61B,ALAS1,,,
2844,3992,Q99679,O60427,GPR21,FADS1,,,
2783,5201,P62879,O60925,GNB2,PFDN1,,,
1936,83903,P29692-2,Q8TF76,EEF1D,GSG2,,,
124790,51574,Q96MH2,Q4G0J3,HEXIM2,LARP7,,,
147719,83990,Q6UWN0-2,Q9BX63,LYPD4,BRIP1,,,
6657,1992,P48431,P30740,SOX2,SERPINB1,,,
29953,4189,Q9UKU6,Q9UBS3,TRHDE,DNAJB9,,,
55002,79065,Q6UWJ1-2,Q7Z3C6-2,TMCO3,ATG9A,,,
2030,6714,Q99808,P12931-2,SLC29A1,SRC,,,
51084,375444,UNKNOWN,Q96MH7,CRYL1,C5orf34,,,
1967,8890,Q14232,Q9UI10-2,EIF2B1,EIF2B4,,,
10394,54994,Q9Y2Y8,Q9NWU2,PRG3,C20orf11,,,
3298,3613,Q03933-2,O14732-2,HSF2,IMPA2,,,
79981,1473,Q8N878,P28325,FRMD1,CST5,,,
158763,9867,Q6ZRI8-3,O43164-2,ARHGAP36,PJA2,,,
57381,5584,Q9H4E5-2,P41743,RHOJ,PRKCI,,,
7381,7384,P14927,P31930,UQCRB,UQCRC1,,,
84066,64689,Q5T0J7-2,Q9BQQ3-2,C1orf49,GORASP1,,,
10369,904,Q9Y698,O60563,CACNG2,CCNT1,,,
7020,641371,P05549,Q86TX2,TFAP2A,ACOT1,,,
26094,7203,Q8WV16,P49368,DCAF4,CCT3,,,
55248,8890,Q9H813,Q9UI10-2,TMEM206,EIF2B4,,,
404552,1292,UNKNOWN,P12110,SCGB1D4,COL6A2,,,
116442,7205,Q96DA2,Q15654,RAB39B,TRIP6,,,
50943,56950,Q9BZS1,Q9NRG4,FOXP3,SMYD2,,,
345651,55222,Q562R1,Q8TCA0,ACTBL2,LRRC20,,,
344387,399687,Q5MAI5,Q92614-4,CDKL4,MYO18A,,,
7026,208,P24468,P31751,NR2F2,AKT2,,,
355,64149,P25445-6,Q9HAS0,FAS,C17orf75,,,
4176,80184,P33993,O15078,MCM7,CEP290,,,
25844,338,Q9GZM5,P04114,YIPF3,APOB,,,
64116,25912,Q9C0K1-2,Q9BWL3-3,SLC39A8,C1orf43,,,
8641,25789,Q9UN71-2,Q9UK28,PCDHGB4,TMEM59L,,,
81833,55028,Q9HBV2,Q9BSJ5-2,SPACA1,C17orf80,,,
54487,168850,Q8WYQ5-3,Q2TB10,DGCR8,ZNF800,,,
389,9202,P08134,Q5VZL5-4,RHOC,ZMYM4,,,
513,80324,P30049,Q9Y606-2,ATP5D,PUS1,,,
7766,84146,Q9UK11,Q9H582-2,ZNF223,ZNF644,,,
2358,153396,P25090,Q8NDZ6-2,FPR2,TMEM161B,,,
25844,153396,Q9GZM5,Q8NDZ6-2,YIPF3,TMEM161B,,,
63943,5357,Q9UIM3,Q14651,FKBPL,PLS1,,,
56341,221092,Q9NR22-2,Q1KMD3,PRMT8,HNRNPUL2,,,
491,10257,Q01814-5,O15439-2,ATP2B2,ABCC4,,,
285268,5987,Q6ZSS3,P14373-2,ZNF621,TRIM27,,,
203068,54680,P07437,Q9NWK9,TUBB,ZNHIT6,,,
6637,10262,A8MWD9,Q15427,SNRPG,SF3B4,,,
29953,23592,Q9UKU6,Q9Y2U8,TRHDE,LEMD3,,,
63933,1376,Q96AQ8,P23786,CCDC90A,CPT2,,,
55742,25801,Q9NVD7,P28676,PARVA,GCA,,,
134285,345778,Q8WVE6,Q5HYI7-2,TMEM171,MTX3,,,
140462,55662,Q96DX5,Q9NWT6,ASB9,HIF1AN,,,
140564,10236,Q96AK3,O43390-2,APOBEC3D,HNRNPR,,,
8073,54805,Q12974,Q9H8M5-2,PTP4A2,CNNM2,,,
8631,23272,Q86WV1-2,Q9UK61-3,SKAP1,C3orf63,,,
10412,728269,O95478,P43362,NSA2,MAGEA9B,,,
148066,6713,Q8WWF5,Q14534,ZNRF4,SQLE,,,
80173,51098,Q96LB3,Q9Y366,IFT74,IFT52,,,
10933,55870,Q9UBU8-2,Q9NR48-2,MORF4L1,ASH1L,,,
8881,5286,Q13042-2,O00443,CDC16,PIK3C2A,,,
79823,58533,Q7Z624,Q9UNH7,CAMKMT,SNX6,,,
23087,91833,Q9UPQ4,Q8TBZ3-2,TRIM35,WDR20,,,
23212,6223,Q15050,P39019,RRS1,RPS19,,,
1948,55852,P52799,Q8IWB9-2,EFNB2,TEX2,,,
23144,284114,Q8IXZ2,Q8N9M5,ZC3H3,TMEM102,,,
6636,25929,P62306,Q8TEQ6,SNRPF,GEMIN5,,,
185,8834,P30556,P17152,AGTR1,TMEM11,,,
119180,57555,Q7Z4W2-2,Q8NFZ4,LYZL2,NLGN2,,,
4084,25855,Q05195,Q9HCU9,MXD1,BRMS1,,,
4916,2475,Q16288-2,P42345,NTRK3,MTOR,,,
7570,51121,P17026,Q9UNX3,ZNF22,RPL26L1,,,
3484,3481,P08833,P01344-2,IGFBP1,IGF2,,,
150684,114790,Q8N668,Q8N1F8,COMMD1,STK11IP,,,
2041,4924,P21709,Q02818,EPHA1,NUCB1,,,
29916,79269,Q9Y5W9,Q5QP82-2,SNX11,DCAF10,,,
55790,492,Q8TDX6,Q16720-2,CSGALNACT1,ATP2B3,,,
5796,22901,Q15262-2,Q96EG1,PTPRK,ARSG,,,
55686,79876,Q8N565-2,Q9GZZ9,MREG,UBA5,,,
9388,8829,Q9Y5X9,O14786,LIPG,NRP1,,,
55248,6774,Q9H813,P40763-2,TMEM206,STAT3,,,
23212,4691,Q15050,P19338,RRS1,NCL,,,
5523,51157,Q06190,Q9UK33,PPP2R3A,ZNF580,,,
64963,2342,P82912-2,P49356,MRPS11,FNTB,,,
3963,5289,UNKNOWN,Q8NEB9,LGALS7,PIK3C3,,,
1831,29959,Q99576-3,Q9UHY1,TSC22D3,NRBP1,,,
55122,10953,Q53H80,Q15785,AKIRIN2,TOMM34,,,
28977,6182,Q9Y6G3,P52815,MRPL42,MRPL12,,,
9733,51691,Q15020,O95777,SART3,NAA38,,,
2961,8417,P29084,O15400-2,GTF2E2,STX7,,,
27120,5066,Q9UK85,P19021,DKKL1,PAM,,,
26747,51560,Q9UHK0,Q9NRW1,NUFIP1,RAB6B,,,
10587,7296,Q9NNW7-2,Q16881-2,TXNRD2,TXNRD1,,,
10120,79031,P42025,Q9H2J4,ACTR1B,PDCL3,,,
970,55680,P32970,Q8WXA3-2,CD70,RUFY2,,,
10381,91875,Q13509,Q8N0Z6,TUBB3,TTC5,,,
11171,58490,Q9Y3F4,Q9NQG5,STRAP,RPRD1B,,,
491,84514,Q01814-5,Q8N2G8-2,ATP2B2,GHDC,,,
27245,130507,Q5TGY3,Q6ZT12-4,AHDC1,UBR3,,,
51019,23299,Q9Y3C0,Q8TD16-2,CCDC53,BICD2,,,
65061,822,Q96Q40-3,P40121,CDK15,CAPG,,,
282808,8065,P0C0E4,Q93034,RAB40AL,CUL5,,,
11218,26330,Q9UHI6,O14556,DDX20,GAPDHS,,,
10246,55666,O00624-2,Q8TAT6-2,SLC17A2,NPLOC4,,,
165829,5338,Q8NFN8,O14939-2,GPR156,PLD2,,,
54534,26589,Q8N5N7,Q9H2W6,MRPL50,MRPL46,,,
9402,8697,O75791,Q9UJX2,GRAP2,CDC23,,,
1902,201562,Q92633,Q6Y1H2,LPAR1,PTPLB,,,
8803,116225,Q9P2R7-2,Q96E35,SUCLA2,ZMYND19,,,
653219,84059,UNKNOWN,Q8WXG9,XAGE1A,GPR98,,,
54069,55075,Q9NYP9,Q9BZF9,MIS18A,UACA,,,
6182,9984,P52815,Q96FV9,MRPL12,THOC1,,,
973,26164,P11912,Q9H4K7,CD79A,GTPBP5,,,
54998,80829,Q9NWT8,Q96JP5-2,AURKAIP1,ZFP91,,,
349136,10575,Q86TI4-1,P50991,WDR86,CCT4,,,
9869,60412,Q15047-3,Q96A65,SETDB1,EXOC4,,,
55026,83737,Q5JRV8,Q96J02,FAM70A,ITCH,,,
713,2335,P02746,P02751-10,C1QB,FN1,,,
