Gene A,Gene B,Uniprot A,Uniprot B,Symbol A,Symbol B,,,
5567,5577,P22694-2,P31323,PRKACB,PRKAR2B,,,
7703,23429,P35227,Q8N488,PCGF2,RYBP,,,
1163,983,P61024,P06493,CKS1B,CDK1,,,
56125,56124,Q9Y5F2,Q9Y5F1,PCDHB11,PCDHB12,,,
1176,26985,Q92572,Q9Y2T2,AP3S1,AP3M1,,,
26747,9326,Q9UHK0,Q15649,NUFIP1,ZNHIT3,,,
25936,57405,Q96IY1,Q9HBM1,NSL1,SPC25,,,
8110,6602,Q92784-2,Q96GM5-2,DPF3,SMARCD1,,,
9412,219541,Q13503,A0JLT2-2,MED21,MED19,,,
6317,6318,P29508,P48594,SERPINB3,SERPINB4,,,
6456,6457,Q99962,Q99963-4,SH3GL2,SH3GL3,,,
9696,84809,Q5TZA2,Q86T23,CROCC,CROCCP2,,,
10000,207,Q9Y243-2,P31749,AKT3,AKT1,,,
54851,63943,Q8WVL7,Q9UIM3,ANKRD49,FKBPL,,,
56139,56142,Q9Y5I2-2,Q9UN73-2,PCDHA10,PCDHA6,,,
51499,27166,O43715,Q9Y255,TRIAP1,PRELID1,,,
51343,890,Q9UM11-2,P20248,FZR1,CCNA2,,,
54455,3516,Q6P3S6,Q06330-4,FBXO42,RBPJ,,,
55257,9643,Q9NV56,Q15014,C20orf20,MORF4L2,,,
126,125,P00326,P00325,ADH1C,ADH1B,,,
5971,5966,Q01201,Q04864,RELB,REL,,,
9912,55114,Q17R89,E9PH15,ARHGAP44,ARHGAP17,,,
84108,83746,Q9BYE7,Q969R5-2,PCGF6,L3MBTL2,,,
474343,10927,Q9BPZ2,Q9Y657,SPIN2B,SPIN1,,,
9412,5469,Q13503,Q15648,MED21,MED1,,,
100423062,3539,B9A064,P0CG06,IGLL5,IGLC3,,,
79980,57405,Q9H410,Q9HBM1,DSN1,SPC25,,,
23291,8945,Q9UKB1-2,Q9Y297-2,FBXW11,BTRC,,,
338872,387911,UNKNOWN,B2RNN3,C1QTNF9,C1QTNF9B,,,
8667,10480,O15372,Q7L2H7,EIF3H,EIF3M,,,
56139,56146,Q9Y5I2-2,Q9Y5H9-2,PCDHA10,PCDHA2,,,
60561,152579,Q6NUQ1,Q8WU76,RINT1,SCFD2,,,
55964,989,Q9UH03-2,Q16181-2,SEPT3,SEPT7,,,
79004,51343,Q9H467,Q9UM11-2,CUEDC2,FZR1,,,
7257,3796,Q99598,O00139-1,TSNAX,KIF2A,,,
474343,144097,Q9BPZ2,Q9BUA3,SPIN2B,C11orf84,,,
56104,56103,Q9Y5G3-2,Q9Y5G2-2,PCDHGB1,PCDHGB2,,,
219541,5469,A0JLT2-2,Q15648,MED19,MED1,,,
2,5858,P01023,P20742-2,A2M,PZP,,,
55138,100287045,Q86YD7,D6RGX4,FAM90A1,LOC100287045,,,
207,208,P31749,P31751,AKT1,AKT2,,,
10466,57511,Q9UP83-2,Q9Y2V7,COG5,COG6,,,
56139,56135,Q9Y5I2-2,Q9H158-2,PCDHA10,PCDHAC1,,,
112869,10474,Q96ES7,O75528,CCDC101,TADA3,,,
5209,5210,Q16875-2,Q16877,PFKFB3,PFKFB4,,,
54797,5469,Q9BUE0,Q15648,MED18,MED1,,,
401541,79172,Q6IPU0,Q9BU64,CENPP,CENPO,,,
117143,93624,Q96BN2,Q86TJ2,TADA1,TADA2B,,,
51016,55831,Q9Y3B6,Q9P0I2-2,FAM158A,TMEM111,,,
54797,9443,Q9BUE0,O43513,MED18,MED7,,,
9443,5469,O43513,Q15648,MED7,MED1,,,
1176,10947,Q92572,P53677,AP3S1,AP3M2,,,
202134,653316,UNKNOWN,Q494X1,FAM153B,FAM153C,,,
10738,5988,O75679,O75677,RFPL3,RFPL1,,,
10670,58528,Q7L523,Q9NQL2,RRAGA,RRAGD,,,
5209,5208,Q16875-2,O60825,PFKFB3,PFKFB2,,,
83475,56648,Q9BU89,Q9GZV4,DOHH,EIF5A2,,,
1549,1548,P20853,P11509,CYP2A7,CYP2A6,,,
23779,553158,P85298-3,B1AHC3,ARHGAP8,PRR5-ARHGAP8,,,
55964,151011,Q9UH03-2,Q9P0V9-2,SEPT3,SEPT10,,,
23635,170463,D6RH18,Q9BWG4,SSBP2,SSBP4,,,
64769,23338,Q9HAF1-2,Q9NQC1-2,MEAF6,PHF15,,,
55680,80230,Q8WXA3-2,Q96T51-2,RUFY2,RUFY1,,,
10477,64320,Q969T4,Q96BH1,UBE2E3,RNF25,,,
4603,286826,P10243,Q5TKA1-2,MYBL1,LIN9,,,
892,5469,E5RFK5,Q15648,CCNC,MED1,,,
116224,5530,Q96E09,Q08209-2,FAM122A,PPP3CA,,,
83931,10221,Q8N2I9,Q96RU8,STK40,TRIB1,,,
6251,55742,Q15404,Q9NVD7,RSU1,PARVA,,,
89941,7316,Q8IXI1,P0CG48,RHOT2,UBC,,,
9859,645455,Q5SW79,Q96L14,CEP170,CEP170P1,,,
5165,5161,Q15120,P29803,PDK3,PDHA2,,,
64854,91833,P62068-2,Q8TBZ3-2,USP46,WDR20,,,
5861,81876,P62820,Q9H0U4,RAB1A,RAB1B,,,
4194,7157,O15151,P04637-2,MDM4,TP53,,,
150684,51397,Q8N668,Q9Y6G5,COMMD1,COMMD10,,,
50484,6241,Q7LG56-2,P31350,RRM2B,RRM2,,,
9094,27031,Q13432,Q7Z494-7,UNC119,NPHP3,,,
51297,359710,Q9NP55,P59826,PLUNC,C20orf185,,,
84861,2747,Q53GT1,P49448,KLHL22,GLUD2,,,
2892,2893,P42263,P48058,GRIA3,GRIA4,,,
92597,23012,Q7L9L4,Q9Y2H1,MOBKL1A,STK38L,,,
389524,84163,UNKNOWN,Q86UP8-5,GTF2IRD2B,GTF2IRD2,,,
251,250,P10696,P05187,ALPPL2,ALPP,,,
5868,5878,P20339,P51148,RAB5A,RAB5C,,,
8766,22841,P62491,Q3I768,RAB11A,RAB11FIP2,,,
1175,1173,P53680,Q96CW1-2,AP2S1,AP2M1,,,
6772,6773,P42224-2,P52630,STAT1,STAT2,,,
2946,2949,P28161,P46439,GSTM2,GSTM5,,,
55198,26060,Q8NEU8,Q9UKG1,APPL2,APPL1,,,
79768,11104,Q9H079,O75449,C15orf29,KATNA1,,,
2009,23219,O00423-3,Q9NVF7,EML1,FBXO28,,,
5884,5984,O75943-2,P35249,RAD17,RFC4,,,
1738,55753,P09622,Q9ULD0,DLD,OGDHL,,,
6857,127833,P21579,Q8N9I0,SYT1,SYT2,,,
11118,10384,P78410,O00478,BTN3A2,BTN3A3,,,
55216,1459,Q6ZUT1-2,P19784,C11orf57,CSNK2A2,,,
11118,11119,P78410,O00481-2,BTN3A2,BTN3A1,,,
6945,22877,Q9UH92-2,Q9HAP2,MLX,MLXIP,,,
84940,11151,Q6QEF8-5,P31146,CORO6,CORO1A,,,
56139,56143,Q9Y5I2-2,Q9Y5H7-2,PCDHA10,PCDHA5,,,
5297,728233,P42356,Q8N8J0,PI4KA,PI4KAP1,,,
89780,7473,Q3SY79,P56703,WNT3A,WNT3,,,
8110,6601,Q92784-2,Q8TAQ2-2,DPF3,SMARCC2,,,
4143,4144,Q00266,P31153,MAT1A,MAT2A,,,
4331,902,P51948,P51946,MNAT1,CCNH,,,
8667,3646,O15372,P60228,EIF3H,EIF3E,,,
113451,4946,Q96A70,P54368,ADC,OAZ1,,,
55138,8019,Q86YD7,Q15059-2,FAM90A1,BRD3,,,
55559,55142,Q99871-2,Q9NVX0,HAUS7,HAUS2,,,
91272,284257,Q96IK1,Q8IYS8,BOD1,BOD1P,,,
54413,57502,Q9NZ94-2,Q8N0W4-2,NLGN3,NLGN4X,,,
8412,9564,O75815,P56945,BCAR3,BCAR1,,,
9443,219541,O43513,A0JLT2-2,MED7,MED19,,,
83957,83786,UNKNOWN,Q9BZ67-2,FKSG43,FRMD8,,,
54413,22829,Q9NZ94-2,A6NMU8,NLGN3,NLGN4Y,,,
112869,93624,Q96ES7,Q86TJ2,CCDC101,TADA2B,,,
343068,400735,Q5TYX0,O60810,PRAMEF5,PRAMEF4,,,
56001,728343,UNKNOWN,Q9GZY0,NXF2,NXF2B,,,
1527,9911,O15482,O75069,TEX28,TMCC2,,,
5631,5636,P60891,O60256,PRPS1,PRPSAP2,,,
7186,7185,Q12933-2,Q13077,TRAF2,TRAF1,,,
150684,54939,Q8N668,Q9H0A8,COMMD1,COMMD4,,,
5607,5598,Q13163,Q13164,MAP2K5,MAPK7,,,
7024,7342,Q12800-2,Q9NZI7-4,TFCP2,UBP1,,,
548596,1160,P12532-2,P17540,CKMT1A,CKMT2,,,
10480,3646,Q7L2H7,P60228,EIF3M,EIF3E,,,
644591,653598,A2BFH1,Q9Y536,PPIAL4G,PPIAL4C,,,
3726,1386,P17275,P15336,JUNB,ATF2,,,
3065,54531,Q13547,Q8N344,HDAC1,MIER2,,,
64499,7177,UNKNOWN,P20231,TPSB2,TPSAB1,,,
9412,54797,Q13503,Q9BUE0,MED21,MED18,,,
6637,6638,A8MWD9,P63162,SNRPG,SNRPN,,,
1915,1917,P68104,Q05639,EEF1A1,EEF1A2,,,
147841,57405,Q8NBT2,Q9HBM1,SPC24,SPC25,,,
140459,8065,Q9NWX5,Q93034,ASB6,CUL5,,,
1265,1266,Q99439,Q15417,CNN2,CNN3,,,
