cluster,SymbolA,SymbolB,
1057,TSNAX,KIF2A,
258,SPIN2B,C11orf84,
53,PCDHGB1,PCDHGB2,
11,MED19,MED1,
237,FAM90A1,LOC100287045,
254,COG5,COG6,
137,CCDC101,TADA3,
1300,PFKFB3,PFKFB4,
11,MED18,MED1,
161,CENPP,CENPO,
132,TADA1,TADA2B,
110,FAM158A,TMEM111,
11,MED18,MED7,
11,MED7,MED1,
336,FAM153B,FAM153C,
1083,RFPL3,RFPL1,
1064,RRAGA,RRAGD,
1300,PFKFB3,PFKFB2,
817,DOHH,EIF5A2,
670,CYP2A7,CYP2A6,
229,ARHGAP8,PRR5-ARHGAP8,
62,SEPT3,SEPT10,
139,SSBP2,SSBP4,
30,MEAF6,PHF15,
355,MYBL1,LIN9,
11,CCNC,MED1,
104,FAM122A,PPP3CA,
423,RSU1,PARVA,
730,RHOT2,UBC,
186,CEP170,CEP170P1,
45,COMMD1,COMMD10,
438,RRM2B,RRM2,
261,KLHL22,GLUD2,
992,GRIA3,GRIA4,
638,ALPPL2,ALPP,
28,RAB5A,RAB5C,
404,RAB11A,RAB11FIP2,
13,AP2S1,AP2M1,
202,GSTM2,GSTM5,
461,APPL2,APPL1,
997,C15orf29,KATNA1,
148,RAD17,RFC4,
242,DLD,OGDHL,
400,BTN3A2,BTN3A3,
400,BTN3A2,BTN3A1,
822,MLX,MLXIP,
433,CORO6,CORO1A,
103,PCDHA10,PCDHA5,
1133,PI4KA,PI4KAP1,
523,WNT3A,WNT3,
23,DPF3,SMARCC2,
1278,MAT1A,MAT2A,
68,EIF3H,EIF3E,
207,ADC,OAZ1,
237,FAM90A1,BRD3,
563,NLGN3,NLGN4X,
1304,BCAR3,BCAR1,
11,MED7,MED19,
4,FKSG43,FRMD8,
1299,PRAMEF5,PRAMEF4,
146,PRPS1,PRPSAP2,
45,COMMD1,COMMD4,
883,MAP2K5,MAPK7,
1007,TFCP2,UBP1,
541,CKMT1A,CKMT2,
68,EIF3M,EIF3E,
446,PPIAL4G,PPIAL4C,
160,JUNB,ATF2,
2,HDAC1,MIER2,
11,MED21,MED18,
1,SNRPG,SNRPN,
60,EEF1A1,EEF1A2,
111,SPC24,SPC25,
305,CNN2,CNN3,
649,POLB,APLF,
610,MAGOH,WIBG,
173,UBL7,UBE4B,
45,COMMD1,FAM45A,
1000,EPHA7,EPHA10,
888,KCNC4,KCNC3,
401,C3orf75,ELP4,
45,COMMD10,COMMD3,
517,ASCC1,ASCC2,
182,FBP2,FBP1,
72,MEIS2,MEIS3,
233,RAB27B,SYTL1,
277,PEG10,FAM127B,
45,COMMD10,COMMD2,
111,PMF1,SPC25,
50,GRB2,SOS1,
104,RCAN1,PPP3CA,
405,MOBKL1A,MOBKL1B,
171,TTLL1,LRRC49,
519,VAC14,FIG4,
2,CDYL,MIER2,
67,CTBP1,ZEB1,
1054,MRRF,MRRFP1,
680,CGB2,CGB1,
537,PAPSS1,PAPSS2,
233,RAB27B,SYTL2,
11,CCNC,CDK8,
223,MORF4L1,MORF4L2,
13,AP2S1,C15orf57,
405,MOBKL1A,LATS1,
27,CAPZA2,RLTPR,
1082,PCDHB16,PCDHB10,
113,GTF2H3,GTF2H5,
7,ELAVL2,ELAVL3,
387,AP1S2,SYNRG,
248,MEF2B,LOC729991-MEF2B,
1,SNRPE,SNRPN,
402,SOX5,SOX6,
618,ARHGEF35,ARHGEF5,
30,MEAF6,KAT5,
863,EID2B,MAGEE1,
482,TEX28,TMCC1,
110,TMEM111,C15orf24,
878,SNX4,SNX30,
781,UBE2E3,RNF10,
103,PCDHA10,PCDHA8,
118,MAGEA10,FOXJ2,
177,RPGR,RPGRIP1L,
78,P4HA3,ZBTB7B,
1291,ENO2,ENO3,
18,CKS1B,CCNA2,
45,COMMD10,FAM45A,
509,PDLIM1,ACTN3,
355,LIN37,LIN9,
146,PRPS2,PRPSAP2,
895,POLE,POLE2,
380,PCDHB11,PCDHB13,
22,UGT1A9,UGT1A10,
426,POTEB,POTED,
446,PPIAL4G,PPIAL4E,
1169,ARID3A,ARID3C,
38,TRAPPC2,TRAPPC5,
18,CKS2,CDK1,
570,GSTA2,GSTA5,
412,C9orf6,PUS10,
50,GRB2,SOS2,
29,VAPB,PITPNM2,
885,RFX5,RFX7,
173,UBXN6,METTL21D,
39,BTRC,HIVEP1,
846,ROGDI,WDR7,
1162,XRCC4,LIG4,
24,CUL5,WSB1,
131,BBS5,BBS7,
233,RAB27B,SYTL4,
2,FAM60A,HDAC1,
1301,CYP4F12,CYP4F2,
11,MED18,CCNC,
1071,VPS36,SNF8,
45,FAM45A,FAM45B,
25,WDR83,ZHX1,
146,PRPSAP1,PRPSAP2,
