cluster,SymbolA,SymbolB,
13,AP2S1,EPS15L1,
361,ASB7,HMBOX1,
29,VAPA,FAM83G,
102,RPP25,RPP40,
3,MRPS30,MRPL41,
18,CCND3,CDKN1A,
3,MRPL12,MRPL10,
495,MANSC1,TTYH2,
371,ELMO3,DOCK4,
78,P4HA3,SATB1,
68,EIF3I,EIF3L,
8,LGALS8,SLC12A4,
19,GDPD1,HP,
90,COPS2,COPS4,
114,C16orf59,C14orf80,
66,BCAS4,BLOC1S1,
828,SUV39H1,MAGEC1,
4,DSCR4,CROCCP2,
29,VAPA,MICAL3,
325,KBTBD7,KBTBD6,
1310,PRDM5,FAM102B,
782,NAT2,ZNF346,
12,ZNF397,ZNF213,
812,ACOT12,ACOT11,
12,ZNF434,ZSCAN18,
652,MAPRE1,MAPRE2,
2,CYBRD1,MIER2,
829,KCNA5,KCNA3,
154,RBPJ,ZNF268,
2,RBBP7,SAP130,
607,PES1,BOP1,
1164,SPHK1,CYLD,
26,SEC22B,NBAS,
33,PSMB2,PSMB3,
367,ADD2,ADD1,
11,MED1,MED28,
48,EXOSC1,EXOSC7,
518,C16orf70,BCAS3,
23,SMARCC2,SMARCD3,
396,RGS9,GNB5,
114,FGL1,TUBE1,
49,RIPPLY2,TLE1,
158,C22orf41,KIFC3,
80,MAPK14,C14orf43,
852,KLHDC2,SELS,
187,TINF2,TERF2,
30,KAT5,EPC2,
45,CCDC22,COMMD7,
18,CCND2,CDKN1B,
1296,CSK,FRK,
494,SP6,C19orf51,
266,OSGEP,TPRKB,
349,VHL,C11orf46,
62,CDC42EP4,SEPT3,
27,NANOS2,CNOT10,
160,FOS,JUN,
23,BCL7C,DPF2,
11,MED19,MED11,
616,C10orf96,NINL,
11,MED7,MED22,
18,CCND3,RBL2,
344,EIF4E,EIF4EBP1,
10,CAMKV,MLLT3,
23,DPF3,SS18,
317,DCUN1D4,ARL4C,
150,PRKAG2,PRKAA1,
122,GOPC,ATG4D,
23,SMARCC2,SMARCB1,
94,PHC1,BMI1,
2,HDAC1,C11orf30,
15,HAX1,HPCA,
1187,ZNF280A,ZNF280B,
45,COMMD3,COMMD7,
19,SNX27,CP,
1,SNRPG,ZRSR2,
798,TMC7,HLCS,
747,GDPD5,ROBO1,
15,C14orf104,STX1B,
273,C18orf1,SMAD2,
185,PDZK1,SLC22A5,
1262,MAPK8,WDR62,
28,RAB31,RAB22A,
2,HDAC1,PHF21A,
310,IQCF1,PACS1,
11,MED18,MED23,
352,KPNA2,CDCA2,
13,RUNDC3A,AAK1,
246,ZMYND17,SEMG1,
309,CD97,EMR2,
27,NANOS2,CNOT3,
495,MANSC1,TP53I11,
1,SNRPG,LSM11,
14,NDUFA8,NDUFA12,
19,SNX27,HP,
23,DPF2,SMARCE1,
68,EIF3E,EIF3A,
425,SDHA,PDSS2,
11,CCNC,MED28,
51,IMPDH2,ANKRD9,
72,C12orf34,MEIS1,
1,SNRPF,LOC100130932,
45,CCDC22,C16orf62,
33,PSMB7,POMP,
152,C14orf179,TULP3,
36,TTC30B,RABL5,
735,KIAA1267,DUS2L,
201,RHOD,C1orf198,
285,COL9A1,PPP1R12C,
23,BCL7C,SMARCA2,
25,PLRG1,LINS,
137,CCDC101,KAT2B,
86,TUBB3,EML2,
211,RABGGTB,PIP5K1C,
113,GTF2H2D,PTS,
381,HLA-DRB1,LOC100507714,
26,CLEC12A,VTI1A,
18,CDK3,CDT1,
14,NDUFB11,NDUFB9,
41,SNIP1,ACIN1,
90,COPS2,COPS7A,
23,BCL7C,SMARCD2,
74,GNAI1,GNAT3,
1319,TNFRSF8,CEP57,
166,CSNK1E,CRY2,
33,PSMB1,POMP,
8,LGALS9,LAMA1,
11,MED21,MED23,
342,MPZL1,IFIH1,
213,ANKMY2,ADCY3,
93,UCHL5,TFPT,
11,MED18,MED25,
27,RCSD1,CAPZA2,
2,RBBP7,SIN3A,
424,MAFF,BACH2,
93,UCHL5,INO80C,
12,ZNF396,ZNF174,
102,C18orf21,RPP40,
131,LZTFL1,BBS9,
492,DPYSL5,DPYSL2,
169,GLRX3,BOLA1,
20,GRINL1A,RECQL5,
452,IRF2,CTSS,
103,PCDHA9,MLYCD,
123,PPP1R3C,PPP1R3D,
827,NONO,C13orf23,
320,EIF2B2,EIF2B5,
18,CDK2,CREBBP,
468,DRG1,METTL11A,
11,MED19,MED31,
608,CCNDBP1,FAM195A,
76,C9orf128,ATG13,
40,ANAPC13,ANAPC5,
187,ARL4D,TERF2,
113,GTF2H3,GTF2H2,
456,IGFBP1,PTPN3,
1,SNRPE,TUT1,
350,PPP2R4,PPP4R2,
35,POLR3E,POLR3G,
145,FAM19A4,AVL9,
8,LGALS9,LAMA4,
11,MED19,CDK8,
16,MRPS27,C4orf14,
35,POLR3E,POLR3H,
27,TEX13A,CNOT6,
212,FASLG,EIF2AK1,
13,AP2M1,AP1S1,
1279,PCDH12,CLIC3,
15,C14orf104,GRIA2,
134,DEF6,GRID1,
23,SMARCD1,ARID2,
11,MED21,CDK19,
1064,RRAGA,SLC38A9,
45,CCDC22,CCDC93,
23,SMARCC2,SMARCD2,
54,CETN1,DYX1C1,
114,FGL1,ALDH5A1,
166,CSNK1E,FAM110B,
77,CLK3,GPATCH8,
100,PCGF5,YAF2,
210,EXOC1,EXOC2,
20,LMO2,RPAP2,
35,POLR3D,POLR3G,
288,MTMR9,MTMR8,
129,SDC2,GMEB1,
193,RAD21,USP13,
1285,KBTBD5,ZNF81,
92,KARS,RARS,
131,LZTFL1,BBS4,
873,ATF4,TBC1D25,
27,TOB1,TNKS1BP1,
276,VPS41,VPS16,
12,ZNF434,SCAND1,
437,MAP3K14,IKBKG,
14,NDUFS6,NDUFA7,
2,BRMS1,RBBP7,
972,BCAN,VCAN,
1120,LRRC56,RANGRF,
23,DPF2,BCL7B,
856,AKR7A3,AKR7A2,
12,ZSCAN20,ZNF394,
45,VPS29,DSCR3,
654,FMN1,CYP2S1,
435,HIST1H1E,YBX2,
139,SSBP4,LHX1,
88,TRIM17,TRIM44,
43,HTR3A,ABCA7,
171,TTLL1,C11orf49,
102,RPP25,POP7,
886,FRMD1,SCEL,
53,PCDHGB1,TMTC2,
92,AIMP1,TARSL2,
148,RFC4,RFC2,
72,LMX1B,PBX2,
1,SNRPF,FTSJD1,
66,DTNBP1,LAMC2,
937,NDUFAB1,OXSM,
9,TRIM28,ZFP112,
61,SCGB2A2,CHST3,
11,MED7,MED17,
246,ZMYND17,SEMG2,
19,ALDH2,IGHG4,
79,CUL3,KBTBD2,
334,SLC25A41,DAB2,
221,FECH,COBRA1,
549,KLHL2,TRIM8,
11,CCNC,MED22,
14,NDUFS6,NDUFA12,
2,GATAD2B,CHD3,
278,ETV5,RFWD2,
1045,ERLIN1,DUSP3,
12,ZNF397,ZSCAN30,
428,RETN,GLI4,
50,GRB2,SPATA2L,
951,PRDM14,PRDM6,
92,KARS,TARSL2,
90,COPS5,FNIP1,
15,NUFIP1,SNAP25,
190,TSC22D4,WNK3,
1,SNRPN,TGS1,
8,LGALS8,SLC12A7,
690,SARS,DUS3L,
781,ZC4H2,RNF220,
13,AP1M2,AP1B1,
35,POLR2E,POLR3H,
45,FAM45A,COMMD9,
864,SHC1,RASAL2,
158,C22orf41,PLK1S1,
150,DCLRE1C,PRKAG2,
30,MYST2,ING5,
1058,ARNT2,TRAF4,
102,RPP30,C3orf17,
45,FAM45A,CCDC93,
58,ATP5F1,ATP5B,
171,LRRC49,TBC1D19,
67,TEX9,C20orf112,
1,ZRSR2,SNRNP48,
824,NR4A1,MIDN,
23,BCL7A,DPF1,
150,DCLRE1C,PRKAA2,
116,NCK2,ARHGEF7,
2,HDAC1,ARID4A,
13,NECAP2,AP1B1,
356,NFE2L3,MAFK,
656,SYPL1,VAMP8,
15,HAX1,SYN1,
298,KPTN,TMCO4,
86,EML1,EML4,
60,EEF1A1,TTLL12,
47,PRKAR2B,AKAP11,
79,KLHL28,KLHL21,
29,VAPB,OSBP2,
106,RAN,TMEM194B,
65,PLOD1,FOXA1,
675,MBLAC2,FLRT3,
31,PPP1CA,ZFYVE16,
23,DPF3,BCL7B,
92,LARS,SDCCAG8,
202,GSTM5,GSTM3,
4,HSPBP1,HSF1,
39,FBXL3,RFX2,
62,SEPT7,SEPT11,
30,MEAF6,MYST3,
273,C18orf1,SMAD3,
29,VAPB,RAB3GAP1,
18,CDK3,CCNE1,
1271,MOAP1,PNMAL1,
15,C14orf104,VSNL1,
11,MED21,MED29,
683,RNF31,RBCK1,
92,RARS,AIMP1,
372,ZNF212,ZNF398,
24,CUL5,ASB13,
62,SEPT7,SEPT9,
641,DBN1,HOMER2,
55,LTBR,CCDC77,
1208,SNAPC1,SNAPC2,
111,DSN1,NDC80,
251,FGFR2,IP6K1,
404,RAB11B,SH3BP5,
365,CPEB1,SYMPK,
555,C7orf60,NPRL2,
40,CDC16,ANAPC5,
3,MRPL46,MRPL40,
2,MBD3L1,CDK2AP1,
13,AP2M1,SYNJ1,
111,SPC24,CASC5,
169,RGS20,GLRX3,
531,CCM2,ITGB1BP1,
11,CDK8,MED6,
27,NANOS2,CNOT1,
12,ZNF434,ZNF24,
481,SEC11C,SPCS2,
581,EXOC3L2,SIAH1,
171,NICN1,TBC1D19,
206,ALOX5,SLAIN1,
13,REPS1,REPS2,
135,TAF7L,TAF13,
449,IFI30,UBE3B,
40,ANAPC13,ANAPC1,
33,PSMB2,PSMB7,
655,PAPLN,KIF2C,
2,HDAC1,BRMS1L,
11,MED1,MED22,
30,MEAF6,EP400,
630,DEFA1,IGFBP2,
1,CCDC97,SF3A2,
512,ZYX,TANC2,
36,TTC30B,TRAF3IP1,
68,EIF3F,EIF3L,
59,TUBG2,TUBGCP4,
12,ZNF434,ZSCAN30,
139,SSBP2,LMO4,
211,RABGGTB,PPP1R16A,
1151,APBA2,IQSEC2,
958,MUDENG,DKFZp761E198,
12,ZSCAN20,ZKSCAN1,
1294,GNAT1,DNAJC6,
3,MRPL42,MRPL50,
66,BCAS4,LOH12CR1,
33,PSMB4,PSME4,
108,SEC13,PPWD1,
107,B3GAT3,WDR13,
18,CKS2,CCNB1,
90,COPS3,COPS7A,
67,TEX9,CCDC112,
78,P4HA3,PWWP2A,
141,DDX20,GEMIN8,
208,APBB1,APLP1,
19,DDX31,MSLN,
1302,UGT2A3,UGT2B15,
2,ING2,SAP30L,
42,ASF1B,NASP,
15,DGUOK,STX1B,
278,ETV5,STK40,
96,PSMC4,PSMD10,
102,POP4,RPP40,
207,ADC,OAZ2,
52,FERD3L,USP19,
14,NDUFB11,ND5,
15,DGUOK,HIST1H2BL,
66,DTNBP1,PLDN,
154,RBPJ,WDR70,
14,NDUFS3,NDUFB8,
62,SEPT6,SEPT4,
11,MED19,MED23,
10,PIP4K2A,NAF1,
39,FBXW11,HIVEP1,
1,SNRPF,PDCD7,
517,ASCC2,ASCC3,
274,PIK3R3,PIK3CA,
73,ATP6V0A2,CLCN6,
568,TMEM173,PVRL4,
252,CXorf56,C19orf29,
884,ZNF669,ANKS3,
90,COPS8,COPS7A,
51,IMPDH1,C9orf100,
641,HOMER1,DBN1,
1,PRPF3,AKAP7,
249,MATN4,CILP2,
884,ZNF214,ANKS3,
1199,NECAB2,NECAB3,
27,CNOT7,TOB1,
64,LIN7C,ABLIM2,
68,EIF3M,EIF3A,
12,ZNF434,ZNF174,
1184,WIPI2,ATG5,
152,TULP3,IFT140,
33,PSMB7,PSME2,
15,HAX1,STX1B,
45,FAM45A,COMMD7,
42,ASF1A,TONSL,
183,HAVCR2,DIP2B,
11,MED19,MED29,
34,H2AFX,CRAMP1L,
190,TSC22D3,TSC22D1,
59,TUBGCP5,TUBGCP4,
45,COMMD6,COMMD9,
37,WDR5,BOD1L,
152,C11orf74,IFT140,
90,COPS8,COPS4,
474,GATSL3,WDR24,
37,WDR5,NCOA6,
2,HDAC1,MTA1,
355,MYBL1,LIN52,
322,BCL2L1,BCL2,
27,TOB1,CNOT3,
77,CLK3,CLK2,
323,SERPINB13,BSDC1,
48,C1D,MPHOSPH6,
151,ABI2,CYFIP2,
478,NKAP,NOS1AP,
48,EXOSC3,EXOSC10,
934,C1orf86,FANCA,
1,ZRSR2,PDCD7,
65,PLOD1,ODF2,
137,TADA3,FAM48A,
45,COMMD3,DSCR3,
11,MED7,MED20,
125,WDYHV1,ERN1,
30,MYCL1,MBTD1,
30,MEAF6,EPC2,
23,SMARCC2,PHF10,
11,CCNC,MED4,
3,MRPL28,MRPL47,
2,GATAD2A,MBD2,
10,FAM9A,NAF1,
94,PHC1,CBX7,
59,TUBG2,TUBGCP6,
1,ZMAT5,DENND4B,
18,CDC20,CCNA2,
34,H2AFX,PARP2,
13,AP2S1,REPS1,
9,ZNF621,TRIM39,
60,CXorf26,TTLL12,
149,NSMCE1,FAM178A,
9,TRIM28,ZNF620,
2,PHF20L1,MBD3,
237,FAM90A1,RFPL4A,
11,MED21,MED25,
68,EIF3H,EIF3A,
52,MYOG,TCF12,
125,WDYHV1,SHB,
68,EIF3L,PRRC2B,
20,POLR2G,RPAP2,
22,CDK15,FAM129B,
23,SMARCD1,SMARCA2,
416,KCNIP4,KCNIP1,
238,RSPO3,DPY19L3,
658,ACAD9,NDUFAF1,
1,SNRPG,FTSJD1,
12,ZNF397,ZKSCAN4,
196,GFOD1,CARD10,
39,CDC25A,BTRC,
1205,HLA-DQA1,LOC100507686,
15,DGUOK,L1CAM,
221,FECH,TH1L,
791,TRIM4,P4HB,
18,CDK1,CCNB1,
798,TMEM146,HLCS,
94,PHC1,SFMBT2,
111,NSL1,NDC80,
334,SLC25A41,FCHO2,
365,CPEB1,METAP1D,
40,CDC16,KIAA1731,
67,CTBP1,ZNF516,
11,MED19,MED15,
581,JSRP1,SIAH1,
64,LIN7C,LIN7B,
529,FAM167A,KIAA1598,
13,LSR,STON2,
77,CLK3,ZC3H18,
27,TEX13A,CNOT6L,
568,PVRL4,C6orf62,
420,PYCR1,KLHDC10,
268,REPIN1,TXNDC3,
33,PSMB1,PSME2,
2,GATAD2A,MTA3,
15,HAX1,DCLK1,
40,C16orf87,ANAPC4,
525,EFEMP1,ZNF628,
2,ING2,SIN3A,
1093,DENND2C,ARHGAP42,
12,ZSCAN1,MZF1,
306,USP46,PHLPP1,
52,MYF6,NES,
309,CD97,NNT,
78,P4HA3,FAM120C,
34,H2AFX,SUPT16H,
141,SNRNP70,SMN1,
2,RBBP7,ARID4A,
772,NFYC,NFYB,
68,EIF3I,EIF3A,
38,TRAPPC1,TRAPPC10,
1,SNRPA1,TGS1,
12,ZNF232,ZSCAN21,
127,DCTN6,DCTN5,
851,SLC25A21,TBX20,
418,CAMK2D,UNG,
327,MLLT6,ZC3H10,
83,PSMC5,PSMD12,
12,ZNF397,ZNF446,
11,MED21,MED31,
87,CTNNA3,ARVCF,
34,SSRP1,SUPT16H,
612,CLPB,KIAA1191,
1,SNRPE,ZRSR2,
28,RAB2B,GDI1,
74,GNG4,GNAI1,
369,CACNB3,C19orf26,
149,EID3,SMC6,
14,NDUFS3,NDUFS4,
140,VSX1,CSNK2A2,
627,DNM3,DNM1,
12,ZSCAN20,SCAND3,
15,C14orf104,L1CAM,
138,FAM136A,N4BP2,
38,TTC15,TRAPPC8,
609,MAPK12,MAPK13,
294,TMED2,GOLGB1,
711,HRASLS5,VCPIP1,
11,MED18,MED12,
477,IL18RAP,PIGA,
167,FKBP6,AGAP3,
607,PES1,WDR12,
104,PPP3CA,SIK3,
6,NDUFA4L2,POTEI,
38,BCL2L14,C7orf43,
231,EFNB2,EPHB3,
372,ZNF398,ZNF746,
297,TSPAN5,IMMP1L,
15,HAX1,VSNL1,
544,FAM109A,OCRL,
748,VPS26B,VPS35,
35,POLR3D,POLR3K,
434,NOL10,NGDN,
45,COMMD2,COMMD9,
92,KARS,SDCCAG8,
62,SEPT12,SEPT4,
139,IDI2,LMO4,
1,DDX23,CD2BP2,
2,PHF20L1,GATAD2B,
184,OAZ3,TCHH,
34,H2AFX,XPC,
537,WDR6,PAPSS2,
60,EEF1D,CARS,
30,KAT5,EPC1,
123,STBD1,GBE1,
928,FXYD1,NDRG4,
38,TRAPPC1,TRAPPC3,
48,EXOSC7,EXOSC10,
293,TPH1,DNAJC12,
26,STX7,VTI1A,
6,CAP2,POTEI,
27,NANOS2,RQCD1,
2,HDAC1,GATAD1,
1166,TGM4,DDHD2,
355,MYBL1,LIN54,
1294,IL1RL2,DNAJC6,
665,C1orf183,C14orf145,
1277,RHPN1,PTPN21,
558,ZPLD1,CEACAM8,
27,RIBC1,CNOT2,
350,SMEK1,SMEK2,
51,IMPDH1,TRIM6,
15,DGUOK,SNAP25,
152,IFT122,WDR35,
100,YAF2,MORC4,
38,TTC15,TRAPPC6A,
376,SAV1,STK4,
9,TRIM28,ZNF721,
62,SEPT3,SEPT5,
166,CSNK1D,FAM110B,
18,CDK2,CDKN1C,
432,EXT2,INVS,
107,EPHA1,C19orf61,
120,CYP1A1,RECQL,
27,C2orf29,CNOT3,
2,HMG20B,RCOR2,
51,IMPDH1,ANKRD9,
36,IFT57,IFT81,
3,MRPS30,MRPL45,
490,CCR2,POTEE,
758,BCL2L13,SOD1,
1,LSM6,PRPF3,
230,SSX3,SSX2B,
97,PEX19,GLCE,
356,BACH1,CREBZF,
1012,LIPH,DHX32,
255,SRP68,SRP72,
11,MED1,MED8,
2,ING2,BRMS1,
995,ZNF311,NKTR,
62,SEPT2,SEPT5,
3,THOC3,THOC7,
26,STX7,GOSR2,
4,HSPA8,HSF1,
2,MBD3L1,ZNF521,
613,PRMT2,SHANK3,
23,SMARCD1,SMARCD2,
10,AFF4,CCNT2,
2,ING2,SAP30,
27,RIBC1,C2orf29,
4,HSPBP1,C6orf106,
98,FKBP4,HSP90AA5P,
72,C12orf34,MAB21L1,
27,RIBC1,TNKS1BP1,
23,BCL7A,BRD7,
304,NXF1,NXT1,
31,PPP1R7,PPP1CC,
583,KCTD17,KCTD5,
2,MXD3,MNT,
105,LNX1,LRFN4,
2,HDAC1,BAHCC1,
18,CCNE2,CDKN1A,
85,TUBA1A,TCP11L2,
30,PLAC1,TRRAP,
495,MANSC1,CLCN7,
1131,TCP10L2,TMF1,
193,CDCA5,RAD21,
11,MED1,MED12,
152,IFT122,WDR19,
11,MED7,MED13L,
166,CSNK1D,ZNF618,
92,RARS,LARS,
288,MTMR7,MTMR8,
11,CCNC,MED20,
764,GGA2,GGA1,
19,DDX31,HPX,
200,EYA1,PTPN9,
423,RSU1,LIMS1,
177,RPGR,ATP1A4,
161,CENPO,CENPQ,
31,PPP1CA,CNST,
154,RBPJ,SPEN,
11,MED7,MED26,
139,SSBP4,LMO4,
544,OCRL,PLEKHJ1,
102,C18orf21,RPP14,
373,ZNF610,TRIM37,
295,C19orf75,VPS8,
1122,METTL21C,BCKDK,
716,FUCA2,MAN2B2,
989,NDUFS7,ALKBH7,
90,COPS3,COPS4,
1,PRPF4,TUT1,
191,UQCRH,COX7A2L,
12,ZNF397,ZKSCAN3,
11,MED21,MED15,
193,RAD21,SMC1B,
11,MED7,MED4,
528,PNO1,NOB1,
15,NUFIP1,CRMP1,
90,COPS6,LRR1,
170,MAGEA1,NAP1L3,
666,PROZ,FOXG1,
1270,GPR21,OTUD6A,
2,HDAC1,SAP30L,
751,TBRG4,C9orf4,
270,VWCE,ZNF74,
60,EEF1G,CARS,
255,SRP9,SRP14,
2,MBD3L1,MTA2,
29,VAPA,FAM82A1,
3,THOC1,THOC2,
308,REEP5,REEP6,
12,ZSCAN20,ZNF197,
14,NDUFA8,NDUFS4,
8,LGALS3,ALCAM,
171,C17orf71,LRRC49,
111,SPC25,CASC5,
264,XPA,ERCC1,
22,CDK15,SDR16C5,
2,ZNF219,CHD3,
212,FASLG,SNX33,
1208,SNAPC1,SNAPC5,
10,AFF4,ELL,
101,ARIH1,ZNF852,
90,COPS8,LRR1,
294,TMED2,TMED4,
1290,PPP2R2C,PPP2R2B,
800,CCDC130,JMJD5,
62,SEPT3,SEPT14,
1,SNRPF,SNRNP48,
18,CDK2,CDKN1B,
865,FOXD4,CHCHD2,
12,ZNF396,ZKSCAN3,
45,COMMD1,DSCR3,
45,VPS29,COMMD9,
12,ZNF232,ZKSCAN1,
733,SYNC,NEFM,
266,TP53RK,OSGEP,
2,HDAC1,BCL11A,
596,KIR2DS2,KIR3DP1,
111,DSN1,NUF2,
129,SDC2,PRDM10,
538,CALCOCO2,TBKBP1,
183,CNKSR3,DIP2B,
725,TXLNB,C1orf122,
12,ZNF434,ZKSCAN4,
42,ASF1B,MMS22L,
210,EXOC1,EXOC4,
2,HDAC1,SIN3A,
105,LNX1,NXF2B,
628,RANBP6,ARMCX3,
41,PNN,ZC3H14,
291,TFDP3,E2F4,
406,UCK2,UCKL1,
56,SELENBP1,MMACHC,
6,CAP1,POTEI,
33,PSMA1,PSME4,
384,CAV3,CENPT,
453,CPLX2,ANKRD13C,
23,DPF3,SMARCB1,
41,C11orf57,ACIN1,
27,NANOS2,CNOT8,
386,USP10,G3BP2,
869,STK35,C1orf174,
12,ZSCAN20,PGBD1,
349,OXT,VHL,
355,LIN9,LIN52,
152,C11orf74,IFT122,
429,PPP6R2,ANKRD28,
106,B2M,DLGAP5,
48,EXOSC3,MPHOSPH6,
31,PPP1CC,PPP1CA,
1,SNRPF,ZMAT5,
45,FAM45A,COMMD5,
129,SDC2,GMEB2,
12,ZNF24,ZNF446,
946,DCN,CHSY1,
9,TRIM28,ZNF595,
14,NDUFS6,ND5,
11,CCNC,MED10,
502,INSL6,WBP5,
2,ZSCAN5A,RCOR2,
457,LRIG1,LRIG3,
59,TUBG2,TUBG1,
478,NKAP,DDX41,
443,LRRC46,LRSAM1,
35,POLR1C,POLR3B,
404,RAB11B,RAB25,
749,VWA5A,MCM9,
15,NUFIP1,CAMK2A,
124,TMEM30B,FGFR4,
1053,KCNJ5,KCNJ3,
606,FAM170A,ZNF358,
42,ASF1A,NASP,
1031,ZNF187,TRIM11,
1,SNRPF,SNRNP35,
130,TM4SF20,CD74,
372,ZNF212,ZNF282,
11,MED19,MED25,
280,EDEM2,UHMK1,
23,SMARCD1,PHF10,
1236,BCL6B,SULT4A1,
15,ARMC1,HIST1H2BL,
555,C7orf60,NPRL3,
111,NSL1,CASC5,
33,PSMB3,PSME4,
1043,SLC12A8,NGEF,
390,GRAMD3,CASC4,
45,COMMD6,DSCR3,
386,G3BP2,NUFIP2,
695,KCNJ6,C4orf27,
1127,IRAK2,SESTD1,
444,C3orf43,SPAG9,
1,SNRPA1,TOE1,
11,MED18,MED29,
30,PLAC1,MBTD1,
814,MAP7D2,BEND3,
94,PHC1,COMMD3-BMI1,
45,COMMD6,COMMD7,
11,MED7,MED14,
505,MPP1,MYH11,
104,RCAN1,PPP3CB,
15,NUFIP1,MAP2,
35,POLR3GL,POLR3K,
116,BAIAP2,KIAA1522,
166,CSNK1D,CRY2,
38,TRAPPC2,TRAPPC3,
94,SFTPC,NPTXR,
45,VPS29,CCDC93,
92,KARS,AIMP2,
59,MZT2B,TUBGCP6,
2,RBBP7,CHD4,
2,ZNF219,ZNF521,
31,PPP1R7,PPP1CA,
51,IMPDH1,SLC25A44,
111,ZWINT,CASC5,
562,CACNG5,ZNF142,
520,TMEM79,GCNT2,
279,ATP2B2,TMEM168,
72,MAB21L2,PBX3,
530,ST6GAL1,KIAA1244,
43,HTR3A,UGT3A2,
228,CA10,IMPACT,
90,COPS5,COPS4,
18,CDK2,CDKN1A,
2,HDAC1,SIN3B,
79,KLHL28,NUDCD3,
88,DACH2,DACH1,
40,C16orf87,CDC23,
148,RFC5,RFC1,
26,CLEC12A,STX6,
14,NDUFB11,NDUFB3,
30,MYCL1,VPS72,
42,ASF1A,IPO4,
279,ATP2B2,ATP2B4,
15,C14orf104,HPCAL4,
42,HIST1H3A,TONSL,
12,ZNF232,ZNF24,
23,SMARCC2,SMARCA2,
1293,SMYD1,ADSS,
187,POT1,TERF2,
132,ATXN7L3,TADA1,
13,NECAP2,AP2A1,
67,CTBP1,C20orf112,
208,APBB3,APLP1,
32,JMJD6,ARGLU1,
11,CCNC,MED8,
23,BCL7A,PBRM1,
111,PMF1,CASC5,
948,PMPCA,NUDT8,
249,MATN4,MATN1,
12,ZNF232,ZNF174,
186,CEP170,BEGAIN,
569,CAB39L,STK11,
969,KIAA0748,BOK,
1,SNRPE,SNRPF,
38,KANK4,C7orf43,
47,AKAP14,PRKACB,
15,DGUOK,HPCA,
45,FAM45A,C16orf62,
246,C9orf139,SEMG2,
2,HDAC1,SAP30,
465,BIN3,FBXO8,
324,HAPLN3,CHAC2,
33,PSMG2,PSMF1,
28,GDI1,RAB14,
676,TRIP6,WTIP,
15,C14orf104,NAPB,
107,EPHA1,DYNC2H1,
11,MED7,MED8,
4,METTL21A,HSPA8,
144,UBAC1,RNF123,
104,RCAN1,PPP3R1,
143,C17orf59,C10orf32,
272,SH3KBP1,USP27X,
972,BCAN,ULK3,
99,UPK1A,TMEM62,
166,CSNK1D,CRY1,
233,RAB27B,C10orf118,
26,STX6,STX3,
28,RAB7B,CHM,
9,TRIM28,ZNF195,
683,LIPF,SHARPIN,
160,CREB5,ATF7,
102,RPP25,RPP38,
452,IRF2,IRF2BP2,
1117,C9orf24,MMADHC,
74,GNG3,GNAO1,
59,MZT2B,TUBGCP4,
14,NDUFB11,NDUFC2,
3,MRPL42,MRPL47,
40,CDC16,ANAPC1,
59,MZT2B,TUBGCP2,
68,EIF3E,EIF3C,
12,ZSCAN20,SCAND1,
419,HLA-DPA1,DCBLD1,
1241,UPF3A,HBD,
48,RBM7,ZCCHC8,
2,MBD3L1,CHD3,
33,PSMB2,PSMG2,
2,PHF20L1,BCL11A,
33,PSMB2,PSME2,
715,STK38L,PRPH,
10,AFF4,CCNT1,
66,DTNBP1,KIF5A,
53,PCDHGB1,PCDHGA9,
27,TOB1,RQCD1,
474,GATSL3,MIOS,
8,LGALS3,SLC12A7,
833,C11orf24,VAT1L,
1268,CFLAR,CASP8,
48,RBM11,SLC4A1AP,
201,RHOC,C1orf198,
484,NOL7,UTP15,
104,PPP3CC,PPP3R1,
15,HAX1,NAPB,
8,LGALS9,CSPG4,
94,SFTPC,CBX8,
11,CCNC,MED23,
2,PHF20L1,GATAD2A,
15,ARMC1,VSNL1,
45,COMMD10,CCDC93,
19,HBM,MUC5AC,
118,MAGEA10,PHF8,
35,POLR2E,POLR3G,
109,PPP2R2D,PPP2R1B,
942,MAGEB10,MAGEC2,
539,KIR3DL2,PDLIM4,
43,HTR3A,LRRC8D,
290,CHCHD10,CHCHD2P9,
66,DTNBP1,C19orf50,
45,VPS29,COMMD5,
191,UQCRB,CYTB,
23,SMARCD1,BCL7B,
27,CNOT7,CNOT3,
3,MRPL39,MRPS30,
100,RYBP,RNF2,
1,SNRPG,SNRPE,
90,COPS6,DCAF4,
3,MRPS30,MRPL40,
585,SFXN2,CDK18,
140,CSNK2A2,HAGHL,
15,NUFIP1,STX1A,
64,MPP2,LIN7A,
440,MAGED2,GNAL,
90,COPS2,GPS1,
65,MMP2,COL12A1,
90,COPS6,COPS4,
14,NDUFB5,ECSIT,
772,NFYC,PON1,
33,PSMB1,PSMG2,
14,NDUFB5,NDUFB6,
132,ATXN7L3,TADA2B,
255,SRP9,SRP72,
11,MED1,MED20,
2,RBBP7,SAP30,
20,LMO2,ARMC5,
1,TSSC4,SNRNP40,
743,HRC,ZNF101,
252,APEX1,KLHL36,
283,C19orf46,KIF5C,
10,CAMKV,MLLT1,
831,CAPN6,BAZ1A,
335,TNFRSF17,FAM171A1,
611,RPSA,RPSAP58,
19,DDX31,TCN1,
68,EIF3I,EIF3C,
47,PRKACB,PRKAR1B,
595,THBS3,THBS4,
2,GATAD2B,CHD4,
12,ZNF397,ZNF197,
